('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         801995 function calls (778808 primitive calls) in 1.888 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       47    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
       47    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       45    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
    44/32    0.000    0.000    0.010    0.000 css_parser.py:579(parse_pseudo_class)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
    42/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    42/29    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
    40/31    0.000    0.000    0.010    0.000 css_parser.py:746(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       38    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.000    0.000 typing_extensions.py:3054(_check_generic)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
