('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836723 function calls (812451 primitive calls) in 7.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      212    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      200    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.044    0.044 dammit.py:1(<module>)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      528    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       57    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      625    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      355    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
       25    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      127    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      668    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        8    0.000    0.000    0.000    0.000 message.py:529(get_all)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        9    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f752970fce0}
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
  213/211    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       51    0.000    0.000    0.000    0.000 _collections.py:300(add)
        2    0.000    0.000    1.425    0.713 connection.py:534(getresponse)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       77    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      480    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      533    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       69    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       63    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    80/47    0.000    0.000    0.128    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.021    0.021 url.py:1(<module>)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       63    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
    44/32    0.000    0.000    0.010    0.000 css_parser.py:579(parse_pseudo_class)
      176    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
       10    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        8    0.000    0.000    0.001    0.000 feedparser.py:100(push)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      117    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       57    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      288    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      296    0.000    0.000    0.000    0.000 element.py:2168(get)
        2    0.000    0.000    1.424    0.712 client.py:324(begin)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        2    0.000    0.000    0.014    0.007 connection.py:1(<module>)
        1    0.000    0.000    0.054    0.054 css_parser.py:1(<module>)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      138    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.025    0.025 ssl_.py:1(<module>)
    40/31    0.000    0.000    0.010    0.000 css_parser.py:746(parse_pseudo_open)
      106    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
      168    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
    30/17    0.000    0.000    0.159    0.009 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.001    0.000 cookiejar.py:1599(make_cookies)
       14    0.000    0.000    0.000    0.000 element.py:1881(_all_strings)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
