('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836748 function calls (812480 primitive calls) in 2.739 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    1.657    0.828 connection.py:534(getresponse)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        2    0.000    0.000    1.960    0.980 adapters.py:613(send)
        8    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        9    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      212    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
    40/31    0.000    0.000    0.010    0.000 css_parser.py:746(parse_pseudo_open)
      518    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.021    0.021 client.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       12    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.106    0.106 element.py:1(<module>)
        1    0.000    0.000    0.221    0.221 connection.py:27(create_connection)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
        2    0.000    0.000    0.000    0.000 response.py:341(__init__)
       59    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
