('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      415    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       71    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      937    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      430    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      480    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       77    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      271    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
    44/32    0.000    0.000    0.010    0.000 css_parser.py:579(parse_pseudo_class)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      162    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.019    0.019 _request_methods.py:1(<module>)
      275    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       57    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      296    0.000    0.000    0.000    0.000 element.py:2168(get)
        1    0.000    0.000    0.021    0.021 url.py:1(<module>)
      428    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       30    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       55    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       57    0.000    0.000    0.008    0.000 parser.py:123(set_cdata_mode)
       28    0.000    0.000    0.847    0.030 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.054    0.054 css_parser.py:1(<module>)
      162    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
      196    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       20    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
    40/31    0.000    0.000    0.010    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
